"","ASS.1","ASS.2","BET.1","BET.2","ASPL.1","ASPL.2","CC.1","CC.2","DEG.1","DEG.2","MIN.1","MIN.2","MAX.1","MAX.2","SD.1","SD.2","MT3.1","MT3.2","MT4.1","MT4.2","CLASS"
"1",0.00158473404363805,-0.0789030550878038,41.8524590163934,6.49180327868852,2.39508196721311,54.1016393442623,0.108904109589041,0,8,2.55737704918033,26,4,13,13,5.23768396653839,3.85799857509881,1354,64,10830,169,"i_gpI"
"2",0.0116551867603545,-0.379972247918593,42.8196721311475,0.852459016393443,2.42732240437158,59.192349726776,0.127797833935018,0,7.18032786885246,1.47540983606557,61,1,13,13,4.59894262021649,2.33528411816813,1267,25,9949,28,"i_gpI"
"3",-0.160255981952292,-0.255962657458917,36.4754098360656,2.81967213114754,2.21584699453552,57.3562841530055,0.150602409638554,0,8.13114754098361,1.50819672131148,22,1,25,25,5.42363780082479,2.63706244913838,1792,40,16278,93,"i_gpI"
"4",-0.0135446485802256,-0.23911972834962,40.5833333333333,13.2833333333333,2.37570621468927,49.5502824858757,0.159554730983302,0,8.06666666666667,2.46666666666667,27,4,13,13,6.26225352481354,4.30004598582689,1445,80,11939,259,"i_gpI"
"5",-0.112775200219147,-0.0878195059260313,33.2545454545455,8.05454545454545,2.23164983164983,47.6255892255892,0.156676557863501,0,8.21818181818182,1.89090909090909,34,3,7,7,5.49980103711138,3.00414976739107,1509,47,12988,109,"i_gpI"
"6",-0.0324304296105624,0.119788097134495,38.8,13.2,2.31525423728814,51.880790960452,0.161686232657417,0.0612244897959184,8.56666666666667,2.2,40,6,13,2,5.70271022890014,3.15583935489408,1672,47,14809,92,"i_gpI"
"7",-0.101517145758949,0.18374558303887,40.719298245614,0.192982456140351,2.45426065162907,56.4454887218045,0.104956268221574,0,6.17543859649123,0.736842105263158,57,1,10,10,3.45441129477712,1.40821969407011,957,4,6680,2,"i_gpI"
"8",-0.16687063862104,-0.166666666666667,41.6833333333333,1.35,2.41299435028249,58.0457627118644,0.132075471698113,0,6.93333333333333,1.13333333333333,9,1,28,28,4.18579788747644,1.81767841002194,1305,17,10356,20,"i_gpI"
"9",-0.0766539727850102,-0.184156631440976,37.6610169491525,14.135593220339,2.29865575686733,51.5213325540619,0.12664907651715,0,7.69491525423729,1.66101694915254,28,4,1,26,4.31218896844641,2.20977584673451,1388,30,11197,46,"i_gpI"
"10",-0.0659254778081319,-0.180851954138422,41.7377049180328,3.13114754098361,2.39125683060109,58.0551912568306,0.132780082987552,0,6.72131147540984,1.11475409836066,18,6,11,10,4.99710298586752,2.27375138376896,1318,21,10886,33,"i_gpI"
